scenario,stream,period,horizon,source_row_exists,decision_facing_row_exists,status,reason
current_basecase,PED,2026Q1,1,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2026Q2,2,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2026Q3,3,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2026Q4,4,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2027Q1,5,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2027Q2,6,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2027Q3,7,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2027Q4,8,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2028Q1,9,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2028Q2,10,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2028Q3,11,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2028Q4,12,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2029Q1,13,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2029Q2,14,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2029Q3,15,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2029Q4,16,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2030Q1,17,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2030Q2,18,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2030Q3,19,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2030Q4,20,True,True,patched_supported,H1-H20 seed row present and patched
current_basecase,PED,2031Q1,21,True,False,intentionally_withheld_h21_plus,beyond H20: withheld from decision-facing output by the horizon policy; the raw replay value remains available as non-decision-facing audit
