source_path,FY,period,section,line_label,series_id,value,unit,row_role,source_file,source_cell,formula,source_status,source_basis,vktpc_source_file,vktpc_source_cell,vktpc_source_status,population_source_file,population_source_cell,population_source_status,model_id,quarter_composition,actual_quarters,forecast_quarters,replacement_flag,value_status,residual_vs_official,scenario_name,scenario_role,fed_path,availability_status,forecast_segment
BEFU26 official,2001,FY2001,Key volumes,Light RUC net km,light_ruc_net_km,5664.92423,million km,bridge_input,annual_spine.csv,B5,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,Key volumes,Heavy RUC net km,heavy_ruc_net_km,2701.102035,million km,bridge_input,annual_spine.csv,B6,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,Key volumes,Light BEV RUC net km,light_bev_ruc_net_km,0.0,million km,bridge_input,annual_spine.csv,B7,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,Key volumes,Heavy BEV RUC net km,heavy_bev_ruc_net_km,0.0,million km,bridge_input,annual_spine.csv,B8,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,Key volumes,PHEV RUC net km,phev_ruc_net_km,0.0,million km,bridge_input,annual_spine.csv,B9,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,Key volumes,PED volume,ped_volume,3038.19012114802,million litres,bridge_input,annual_spine.csv,B10,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,Key volumes,TUC GTK,tuc_gtk,0.0,tonne-km,bridge_input,annual_spine.csv,B13,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,Light RUC net revenue,light_ruc_net_revenue,107.952015502222,$m nominal ex GST,leaf,annual_spine.csv,B28,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,Heavy RUC net revenue,heavy_ruc_net_revenue,425.368969368889,$m nominal ex GST,leaf,annual_spine.csv,B29,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,Light BEV RUC net revenue,light_bev_ruc_net_revenue,0.0,$m nominal ex GST,leaf,annual_spine.csv,B30,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,Heavy BEV RUC net revenue,heavy_bev_ruc_net_revenue,0.0,$m nominal ex GST,leaf,annual_spine.csv,B31,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,PHEV RUC net revenue,phev_ruc_net_revenue,0.0,$m nominal ex GST,leaf,annual_spine.csv,B32,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,RUC refunds,ruc_refunds,23.3564444444444,$m nominal ex GST,deduction,annual_spine.csv,B33,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,Gross RUC,gross_ruc_revenue,556.677429315556,$m nominal ex GST,aggregate,annual_spine.csv,B34,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,RUC admin,ruc_admin_revenue,10.556,$m nominal ex GST,deduction,annual_spine.csv,B35,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,RUC net admin,ruc_revenue_net_admin,546.121429315556,$m nominal ex GST,aggregate,annual_spine.csv,B36,gross_ruc_revenue - ruc_admin_revenue,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,RUC,RUC net admin/refunds,total_ruc_net_revenue,522.764984871111,$m nominal ex GST,aggregate,annual_spine.csv,B37,ruc_revenue_net_admin - ruc_refunds,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
BEFU26 official,2001,FY2001,FED,Gross PED,gross_ped_revenue,965.562122,$m nominal ex GST,leaf,annual_spine.csv,B40,,ACTUAL,BEFU26 official source row,,,,,,,,2000Q3; 2000Q4; 2001Q1; 2001Q2,2000Q3; 2000Q4; 2001Q1; 2001Q2,,False,actual,0.0,befu26_official,official_comparator,BEFU26,available,
