artifact_name,artifact_role,repo_relative_path,status,required_for_runtime,required_for_replay,size_bytes,row_count,sha256,notes
raw_workbook_lineage,lineage_only_not_runtime_loaded,,verified_sha256_in_manifest,False,True,,,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,Raw workbook remains outside Git; Streamlit uses normalized repo-local files only.
distilled_workbook_lineage,normalized_contract_source,,verified_sha256_in_manifest,False,True,,,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,Distilled workbook is lineage only after normalized files are vendored.
manifest.json,source_pack_manifest,data/revenue_model_source_pack/2026_05_19/manifest.json,repo_local_hash_verified,True,True,5242.0,,1f9bc8bc98dc6c3a37688000f9f4f626f84f0aec1b168347d9513b2d311c851e,Source-pack manifest for repo-local normalized files.
MODEL_WORKFLOW.md,config_or_document,data/revenue_model_source_pack/2026_05_19/MODEL_WORKFLOW.md,repo_local_hash_verified,True,True,2216.0,,0e99005941628c1f973d684e583a91a7adb5d8d4d92e0d39f3571a57c494e00d,Normalized source-pack contract file.
README.md,config_or_document,data/revenue_model_source_pack/2026_05_19/README.md,repo_local_hash_verified,True,True,938.0,,dbc1adb7658050dfabd9aa5bfd2d56268e4e2c269ad1343d3ff732007f0da54c,Normalized source-pack contract file.
aggregation_rules.csv,Aggregation Rules,data/revenue_model_source_pack/2026_05_19/aggregation_rules.csv,repo_local_hash_verified,True,True,1947.0,12.0,08d026f1adc0efe9e2fd3a26ebeb10e21bc708eecc0127a3c8d72b959f3ef78e,Normalized source-pack contract file.
annual_actuals.csv,Annual Actuals,data/revenue_model_source_pack/2026_05_19/annual_actuals.csv,repo_local_hash_verified,True,True,32235.0,378.0,5179e7a56e22fcb670f5bf9beb6cf4c8b638dd0ea6492248a6fa4989092cb574,Normalized source-pack contract file.
annual_model_paths.csv,Annual Model Paths,data/revenue_model_source_pack/2026_05_19/annual_model_paths.csv,repo_local_hash_verified,True,True,167658.0,1554.0,03aaca82ad46356efa43bb79264a47b956b71c57cc4b6eb6c32b26bffb4e0b50,Normalized source-pack contract file.
current_selections.csv,Current Selections,data/revenue_model_source_pack/2026_05_19/current_selections.csv,repo_local_hash_verified,False,True,332.0,10.0,abcad19639131dab6dee6e45cb506bdd427a80dcb9dfeedbe30d4f643bac492d,Normalized source-pack contract file.
fed_rate_paths.csv,FED rates,data/revenue_model_source_pack/2026_05_19/fed_rate_paths.csv,repo_local_hash_verified,True,True,31090.0,222.0,37eaad93d4f3c5373fe2569c62841f5216dc7ff10c8a868debc2c7ed61f25269,Normalized source-pack contract file.
forecast_archive.csv,Forecast archive,data/revenue_model_source_pack/2026_05_19/forecast_archive.csv,repo_local_hash_verified,True,True,434927.0,1973.0,1b99209b1786628e2868abc2f52d7e19c33007ef8bbace0f573c76d316d8b0ec,Normalized source-pack contract file.
formula_errors.csv,Formula Errors,data/revenue_model_source_pack/2026_05_19/formula_errors.csv,repo_local_hash_verified,False,True,114592.0,396.0,317ac26aa8dc7a2141e15f2b31543a8f8c57162b0841572c0b88479c08009f28,Normalized source-pack contract file.
front_end_config.json,config_or_document,data/revenue_model_source_pack/2026_05_19/front_end_config.json,repo_local_hash_verified,True,True,5475.0,,158319fbc0c6e93f6cbd7c34d5be5fb53420e961eb635754e8082170e9ade19f,Normalized source-pack contract file.
